Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [VONNE BOUTIQUE],Precio [VONNE BOUTIQUE],En inventario [VONNE BOUTIQUE],Existencias bajas [VONNE BOUTIQUE],"modificador - ""tallas"""
falda-satin-g,10036,Falda satin G,Faldas,,N,,,,,,,230.00,,,,Y,Y,600.00,8.000,0.000,N
falda-satin-m,10035,Falda satin M,Faldas,,N,,,,,,,230.00,,,,Y,Y,600.00,4.000,0.000,Y
falda-satin-primavera,10248,Falda satin primavera,Faldas,,N,,,,,,,200.00,,,,N,Y,500.00,,,N
falda-satin-ch,10034,Falda satin XL,Faldas,,N,,,,,,,230.00,,,,Y,Y,600.00,22.000,0.000,Y
falda-short-camel-c/cinto-grueso,10140,Falda short camel c/cinto grueso,Faldas,,N,,,,,,,200.00,,,,Y,Y,550.00,4.000,,N
falda-short-con-broche,10293,Falda short con broche,Faldas,,N,,,,,,,200.00,,,,Y,Y,480.00,16.000,0.000,N
falda-short-vaca,10037,Falda short vaca,Faldas,,N,,,,,,,0.00,,,,Y,Y,500.00,11.000,,N
falda-short-vinil-beige,10086,Falda short vinil beige,Faldas,,N,,,,,,,200.00,,,,Y,Y,550.00,36.000,0.000,N
falda-tejida-circular-corta,10139,Falda tejida circular corta,Faldas,,N,,,,,,,200.00,,,,Y,Y,500.00,28.000,,N
gabardina-gamuza,10145,Gabardina gamuza con cinto,,,N,,,,,,,0.00,,,,Y,Y,800.00,9.000,0.000,N
gorro,10120,GORRO,Varios,,N,,,,,,,100.00,,,,Y,Y,200.00,15.000,0.000,N
leggins-aborregado,10144,Leggins aborregado,Pantalon,,N,,,,,,,0.00,,,,Y,Y,350.00,16.000,0.000,N
leggins-térmicos-jera,10180,Leggins térmicos Jera,,,N,,,,,,,40.00,,,,Y,Y,120.00,95.000,0.000,N
lencería-150,10182,Lencería 150,,,N,,,,,,,50.00,,,,N,Y,150.00,,,N
lencería-300,10183,Lencería 300,,,N,,,,,,,100.00,,,,N,Y,300.00,,,N
liquidados,10113,Liquidados,Liquidados,,N,,,,,,,0.00,,,,N,Y,variable,,,N
maxi-chaleco-ch,10271,Maxi chaleco Ch,Chalecos,,N,,,,,,,230.00,,,,Y,Y,500.00,4.000,0.000,N
maxi-chaleco-g,10273,Maxi chaleco G,Chalecos,,N,,,,,,,230.00,,,,Y,Y,500.00,0.000,0.000,N
maxi-chaleco-m,10272,Maxi chaleco M,Chalecos,,N,,,,,,,230.00,,,,Y,Y,500.00,0.000,0.000,N
maxi-chaleco-xl,10274,Maxi chaleco XL,Chalecos,,N,,,,,,,230.00,,,,Y,Y,500.00,1.000,0.000,N
maxi-chaleco-xxl,10275,Maxichaleco XXL,Chalecos,,N,,,,,,,230.00,,,,Y,Y,500.00,0.000,0.000,N
medias-de-puntos,10096,Medias De Puntos,Medias,,N,,,,,,,60.00,,,,Y,Y,150.00,11.000,0.000,N
medias-efecto-piel,10043,Medias Efecto piel,Medias,,N,,,,,,,80.00,,,,Y,Y,200.00,5.000,0.000,N
medias-micro-fibra,10044,Medias micro fibra,Medias,,N,,,,,,,50.00,,,,Y,Y,200.00,95.000,0.000,N
medias-niña,10112,Medias niña,Medias,,N,,,,,,,70.00,,,,Y,Y,250.00,21.000,0.000,N
mini-falda-cargo,10256,Mini falda cargo,Faldas,,N,,,,,,,100.00,,,,N,Y,450.00,,,N
mini-falda-gamuza-con-mini-abertura-al-frente,10095,Mini falda gamuza con mini abertura al frente,Faldas,,N,,,,,,,200.00,,,,Y,Y,500.00,70.000,0.000,N
mini-falda-vinil-g,10057,Mini Falda Vinil G,Faldas,,N,,,,,,,100.00,,,,Y,Y,500.00,19.000,0.000,N
mini-falda-vinil-m,10056,Mini Falda Vinil M,Faldas,,N,,,,,,,100.00,,,,Y,Y,500.00,32.000,0.000,N
mini-falda-vinil-xl,10058,Mini Falda Vinil XL,Faldas,,N,,,,,,,100.00,,,,Y,Y,500.00,10.000,0.000,N
mini-falda-vinil-xxl,10059,Mini Falda Vinil XXL,Faldas,,N,,,,,,,100.00,,,,Y,Y,500.00,15.000,0.000,N
palazo-rayas-completo,10246,Palazo rayas completo,Vestidos primavera,,N,,,,,,,250.00,,,,N,Y,600.00,,,N
pantalón-botones-a-los-laterales-xl,10211,Pantalón botones a los laterales XL,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,-4.000,0.000,N
pantalon-botones-a-los-laterales-xxl,10212,Pantalón botones a los laterales XXL,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,5.000,0.000,N
pantalón-botones-en-los-laterales-g,10210,Pantalón botones en los laterales G,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,-2.000,0.000,N
pantalón-botones-en-los-laterales,10203,Pantalón botones en los laterales M,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,-5.000,0.000,N
pantalón-cinto-ch,10221,Pantalón cinto Ch,Pantalon,,N,,,,,,,200.00,,,,Y,Y,600.00,6.000,0.000,N
pantalón-cinto-g,10223,Pantalón cinto G,Pantalon,,N,,,,,,,200.00,,,,Y,Y,600.00,2.000,0.000,N
pantalón-cinto-m,10222,Pantalón cinto M,Pantalon,,N,,,,,,,200.00,,,,Y,Y,600.00,0.000,0.000,N
pantalón-de-vestir,10000,Pantalón de vestir,Pantalon,,N,,,,,,,250.00,,,,Y,Y,500.00,2.000,,N
pantalón-gamuza,10147,Pantalon gamuza camel doble cinto,Pantalon,,N,,,,,,,300.00,,,,Y,Y,600.00,2.000,0.000,N
pantalón-lentejuela-oferta,10167,Pantalón lentejuela OFERTA,OFERTAS,,N,,,,,,,280.00,,,,Y,Y,500.00,16.000,,N
pantalón-lunares,10303,Pantalón lunares,Pantalon,,N,,,,,,,230.00,,,,N,Y,600.00,,,N
pantalón-pata-de-elefante-m,10225,Pantalón pata de elefante M,Pantalon,,N,,,,,,,210.00,,,,Y,Y,600.00,0.000,0.000,N
pantalón-pata-de-elefante-xl,10227,Pantalón pata de elefante Xl,Pantalon,,N,,,,,,,210.00,,,,Y,Y,600.00,0.000,0.000,N
pantalón-pata-elefante,10184,Pantalón PATA ELEFANTE,,,N,,,,,,,290.00,,,,N,Y,600.00,,,N
pantalón-pata-elefante-ch,10224,Pantalón pata elefante Ch,Pantalon,,N,,,,,,,210.00,,,,Y,Y,600.00,8.000,0.000,N
pantalón-pata-elefante-g,10226,Pantalón pata elefante G,Pantalon,,N,,,,,,,210.00,,,,Y,Y,600.00,0.000,0.000,N
pantalón-playero-estampado,10257,Pantalón playero estampado,Pantalon,,N,,,,,,,100.00,,,,N,Y,300.00,,,N
pantalón-rayas-celeste-y-beige,10093,Pantalón rayas celeste y beige,Pantalon,,N,,,,,,,200.00,,,,N,Y,450.00,,,N
pantalón-vinilo-entubado-ch,000000,Pantalón vinil entubado CH,Pantalon,,N,,,,,,,160.00,,,,Y,Y,450.00,15.000,5.000,Y
pantalón-vinilo-entubado-ch-1,10028,Pantalón vinil entubado M,Pantalon,,N,,,,,,,160.00,,,,Y,Y,450.00,2.000,5.000,Y
pantalón-vinil-recto-camel,10134,Pantalón vinil recto camel,Pantalon,,N,,,,,,,250.00,,,,Y,Y,600.00,6.000,,N
pantalon-vinil-recto,10002,Pantalon vinil recto CH,Pantalon,,N,,,,,,,160.00,,,,Y,Y,500.00,30.000,0.000,Y
pantalon-vinil-recto-g,10039,Pantalon vinil recto G,Pantalon,,N,,,,,,,160.00,,,,Y,Y,500.00,34.000,0.000,Y
pantalon-vinil-recto-m,10038,Pantalon vinil recto M,Pantalon,,N,,,,,,,160.00,,,,Y,Y,500.00,24.000,0.000,Y
pantalon-vinil-recto-xl,10040,Pantalon vinil recto XL,Pantalon,,N,,,,,,,160.00,,,,Y,Y,500.00,37.000,0.000,Y
pantalon-vinil-recto-xl-1,10049,Pantalon vinil recto XXL,Pantalon,,N,,,,,,,165.00,,,,Y,Y,500.00,12.000,0.000,N
pantalón-zara-ch,10186,Pantalón zara Ch,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,10.000,0.000,N
pantalón-zara-g,10220,Pantalón Zara G,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,11.000,0.000,N
pantalón-zara-m,10219,Pantalón Zara M,Pantalon,,N,,,,,,,200.00,,,,Y,Y,550.00,1.000,0.000,N
pants-tejido,10143,Pants tejido unitalla,Pantalon,,N,,,,,,,0.00,,,,Y,Y,450.00,11.000,0.000,N
panty-blusa-algodón-primavera,10242,Panty blusa algodón primavera,Blusas y panty blusas  varias,,N,,,,,,,150.00,,,,N,Y,450.00,,,N
panty-blusa-varias,10111,Panty blusa varias,Blusas y panty blusas  varias,,N,,,,,,,200.00,,,,Y,Y,500.00,56.000,0.000,N
pareo-falda,10234,Pareo Falda,Traje de baño,,N,,,,,,,120.00,,,,Y,Y,300.00,8.000,0.000,N
pijama-corazones,10080,Pijama corazones,,,N,,,,,,,100.00,,,,Y,Y,250.00,2.000,,N
playera-mexicana-dama,10196,Playera Mexicana Dama,Playera,,N,,,,,,,160.00,,,,N,Y,350.00,,,N
playera-rayas-corta,10218,Playera rayas corta,Blusas primavera,,N,,,,,,,100.00,,,,N,Y,350.00,,,N
playeras-san-valentín,10185,Playeras san Valentín,,,N,,,,,,,115.00,,,,N,Y,300.00,,,N
prensas-liquidación-primavera,10243,Prendas liquidación RACK,Liquidaciones,,N,,,,,,,0.00,,,,N,Y,variable,,,N
"set-3-piezas-(chaleco,-cinto-y-camisa)",10087,"Set 3 piezas (chaleco, cinto y camisa)",,,N,,,,,,,200.00,,,,Y,Y,600.00,21.000,0.000,N
set-chaleco-con-rombos,10065,Set chaleco con rombos,,,N,,,,,,,0.00,,,,Y,Y,550.00,5.000,,N
set-falda-tinto-y-blusa-blanca,10110,Set falda tinto y blusa blanca,,,N,,,,,,,300.00,,,,Y,Y,600.00,2.000,0.000,N
short-de-agua-dama,10209,Short de agua Dama,Traje de baño,,N,,,,,,,100.00,,,,N,Y,250.00,,,N
short-de-agua-niño,10208,Short de agua NIÑO,Traje de baño,,N,,,,,,,0.00,,,,N,Y,250.00,,,N
short-de-vestir-botón,10283,Short de vestir botón,Short,,N,,,,,,,150.00,,,,Y,Y,450.00,20.000,0.000,N
short-gamuza,10092,Short Gamuza c/ cinto grueso,Short,,N,,,,,,,325.00,,,,Y,Y,550.00,5.000,0.000,Y
short-gamuza-1,10116,Short gamuza camel c/ evilla s/cinto,Short,,N,,,,,,,200.00,,,,Y,Y,550.00,5.000,0.000,N
short-lentejuela,10103,Short lentejuela ch,Short,,N,,,,,,,280.00,,,,Y,Y,600.00,21.000,0.000,N
short-lentejuela-gv,10030,Short lentejuela G,Short,,N,,,,,,,280.00,,,,Y,Y,600.00,34.000,0.000,N
short-lentejuela-m,10029,Short lentejuela M,Short,,N,,,,,,,280.00,,,,Y,Y,600.00,65.000,0.000,N
short-lino-de-moño,10282,Short lino de moño,Short,,N,,,,,,,150.00,,,,Y,Y,450.00,38.000,0.000,N
short-vinil-ch,10061,Short vinil talle alto CH,Short,,N,,,,,,,250.00,,,,Y,Y,550.00,48.000,0.000,N
short-vinil-g,10063,Short vinil talle alto G,Short,,N,,,,,,,250.00,,,,Y,Y,550.00,41.000,0.000,N
short-vinil-m,10062,Short vinil talle alto M,Short,,N,,,,,,,250.00,,,,Y,Y,550.00,40.000,0.000,N
short-vinil-xl,10064,Short vinil talle alto XL,Short,,N,,,,,,,250.00,,,,Y,Y,550.00,39.000,0.000,N
short-zara,10014,Short Zara,Short,,N,,,,,,,0.00,,,,N,Y,450.00,,,N
sombrero-grande-playa,10239,Sombrero grande playa,Traje de baño,,N,,,,,,,100.00,,,,Y,Y,250.00,4.000,0.000,N
sombrero-tejido-colores-playa,10240,Sombrero tejido colores playa,Traje de baño,,N,,,,,,,80.00,,,,Y,Y,250.00,5.000,0.000,N
suéter-peluche-con-gorro,10135,Suéter peluche con gorro,,,N,,,,,,,200.00,,,,Y,Y,550.00,6.000,,N
suéter-tejido-unitalla,10107,Suéter tejido  Unitalla (varios),Suéter,,N,,,,,,,200.00,,,,Y,Y,550.00,50.000,0.000,N
top-algodón-varios-colores,10258,Top algodón varios colores,Blusas primavera,,N,,,,,,,100.00,,,,N,Y,250.00,,,N
traje-de-baño-niña,10207,Traje de baño niña,Traje de baño,,N,,,,,,,0.00,,,,N,Y,250.00,,,N
trajes-de-baño-dama,10206,Trajes de baño Dama,Traje de baño,,N,,,,,,,100.00,,,,N,Y,300.00,,,N
tutu-niña,10287,Tutu niña,Mexicanas,,N,,,,,,,75.00,,,,N,Y,200.00,,,N
venta-envíos-efectivo,10102,Venta Envíos Efectivo,,,N,,,,,,,0.00,,,,N,Y,variable,,,N
venta-general,10006,Venta general,,,N,,,,,,,150.00,,,,N,Y,variable,,,N
vestido-(camisola)-manga-larga-gamuza,10137,Vestido (camisola) manga larga gamuza,,,N,,,,,,,358.00,,,,Y,Y,700.00,2.000,,N
vestido-atablonado-tejido-tinto,10083,Vestido Atablonado UNITALLA,Vestido y blusones tejidos,,N,,,,,,,270.00,,,,Y,Y,650.00,-2.000,26.000,Y
vestido-botones-y-manga-3/4,10259,Vestido botones y manga 3/4,Vestidos primavera,,N,,,,,,,250.00,,,,N,Y,600.00,,,N
vestido-camisero-manga-corta,10276,Vestido camisero manga corta,Vestidos primavera,,N,,,,,,,300.00,,,,N,Y,600.00,,,N
vestido-campesino-manga-3/4,10127,Vestido campesino manga 3/4,Vestido y blusones tejidos,,N,,,,,,,350.00,,,,Y,Y,580.00,0.000,0.000,N
vestido-chifon-con-prendedor,10292,Vestido chifon con prendedor,Vestidos primavera,,N,,,,,,,350.00,,,,Y,Y,800.00,7.000,0.000,N
corte-a,10041,vestido Corte A UNITALLA,Vestido y blusones tejidos,,N,,,,,,,280.00,,,,Y,Y,650.00,-7.000,58.000,N
vestido-crochet-sin-mangas,10023,Vestido crochet sin mangas,Vestidos primavera,,N,,,,,,,300.00,,,,N,Y,950.00,,,N
vestido-cuello-v-lino,10233,Vestido cuello V lino,Vestidos primavera,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,0.000,N
vestido-flores-cinto-tela,10280,Vestido flores cinto tela,Vestidos primavera,,N,,,,,,,300.00,,,,Y,Y,750.00,8.000,0.000,N
vestido-gamuza-8-botones,10154,Vestido gamuza 8 botones,,,N,,,,,,,350.00,,,,Y,Y,900.00,7.000,0.000,N
vestido-gamuza,10099,Vestido gamuza manga corta,Vestido y blusones tejidos,,N,,,,,,,200.00,,,,Y,Y,550.00,5.000,0.000,N
vestido-largo-con-abertura,10310,Vestido largo con abertura,Vestidos primavera,,N,,,,,,,200.00,,,,Y,Y,600.00,13.000,,N
vestido-lentejuela-oferta,10138,Vestido lentejuela OFERTA,OFERTAS,,N,,,,,,,0.00,,,,Y,Y,500.00,22.000,0.000,N
vestido-mesh-sin-manga,10277,Vestido mesh sin manga,Vestidos primavera,,N,,,,,,,260.00,,,,Y,Y,600.00,2.000,0.000,N
vestido-rayado,10284,Vestido rayado,Vestidos primavera,,N,,,,,,,350.00,,,,Y,Y,700.00,17.000,0.000,N
vestido-sin-mangas-floreado,10278,Vestido sin mangas floreado,Vestidos primavera,,N,,,,,,,300.00,,,,Y,Y,650.00,0.000,0.000,N
vestido-vinil,10122,Vestido vinil,Vestido y blusones tejidos,,N,,,,,,,300.00,,,,Y,Y,600.00,14.000,0.000,Y
voceras-playa,10241,Voceras playa,Traje de baño,,N,,,,,,,60.00,,,,Y,Y,200.00,2.000,0.000,N
